id,country,region_name,region_code,car_manufacturer,car_model,base_price,tax_rate,tax_amount,total_price,fuel_type,transmission,manufacturing_year,tag,status
CAR-00001,China,Asia,R1,BYD,Tang,18367.19,0.1079,1981.82,20349.01,Petrol,Manual,2023,Premium|Electric-Vehicle,Active
CAR-00002,Italy,Europe,R2,Lamborghini,Revuelto,155307.19,0.1198,18605.8,173912.99,Hybrid,Manual,2023,SUV|Sedan,Active
CAR-00003,South Africa,Africa,R5,Birkin,S3,16042.47,0.2714,4353.93,20396.4,Electric,Manual,2026,Premium|Electric-Vehicle,Discontinued
CAR-00004,USA,North America,R3,Ford,Escape,25941.93,0.2746,7123.65,33065.58,Hybrid,Manual,2024,Commercial|Electric-Vehicle,Pending_Launch
CAR-00005,United Kingdom,Europe,R2,Aston Martin,Vantage,159164.88,0.1256,19991.11,179155.99,Electric,Manual,2024,Commercial|Electric-Vehicle,Discontinued
CAR-00006,Egypt,Africa,R5,EGA,7-Series Assy,21624.71,0.1219,2636.05,24260.76,Electric,Manual,2023,Economy|Electric-Vehicle,Pending_Launch
CAR-00007,France,Europe,R2,Renault,Megane,19018.64,0.2651,5041.84,24060.48,Diesel,Automatic,2022,Commercial,Active
CAR-00008,Mexico,North America,R3,Mastretta,MXT,13720.9,0.2626,3603.11,17324.01,Electric,Manual,2025,Sports|Sedan|Electric-Vehicle,Pending_Launch
CAR-00009,Germany,Europe,R2,Mercedes-Benz,E-Class,53564.51,0.1923,10300.46,63864.97,Electric,Automatic,2023,Luxury|Sedan|Electric-Vehicle,Active
CAR-00010,New Zealand,Oceania,R6,Hulme,CanAm,31650.34,0.2522,7982.22,39632.56,Diesel,Manual,2025,Commercial|Sedan,Active
CAR-00011,Argentina,South America,R4,Purasangre,Sprint,37248.04,0.2522,9393.96,46642.0,Petrol,Manual,2024,Sports|Electric-Vehicle,Discontinued
CAR-00012,China,Asia,R1,Geely,Boyue,16112.1,0.0806,1298.64,17410.74,Electric,Manual,2024,Premium|Electric-Vehicle,Pending_Launch
CAR-00013,New Zealand,Oceania,R6,Hulme,CanAm,21721.76,0.1123,2439.35,24161.11,Petrol,Automatic,2024,Premium|Sedan,Discontinued
CAR-00014,Italy,Europe,R2,Fiat,500,34828.25,0.2694,9382.73,44210.98,Petrol,Automatic,2023,Luxury|Commercial,Pending_Launch
CAR-00015,Germany,Europe,R2,Audi,A6,54578.11,0.2545,13890.13,68468.24,Hybrid,Manual,2023,Luxury|Commercial,Pending_Launch
CAR-00016,Canada,North America,R3,Campagna,T-Rex,23390.6,0.1835,4292.18,27682.78,Petrol,Manual,2026,SUV|Economy,Pending_Launch
CAR-00017,Italy,Europe,R2,Lamborghini,Urus,151438.17,0.2216,33558.7,184996.87,Petrol,Manual,2022,Premium,Discontinued
CAR-00018,New Zealand,Oceania,R6,Hulme,CanAm,29393.42,0.1228,3609.51,33002.93,Diesel,Automatic,2023,Economy|Sedan,Discontinued
